Economy;Economy Code;ISO Code;Region;Income Group;Report Year;ENTREPRENEURSHIP SCORE;Does the law prohibit discrimination in access to credit based on gender?;Score;Legal Basis;Can a woman sign a contract in the same way as a man?;Score;Legal Basis;Can a woman register a business in the same way as a man?;Score;Legal Basis;Can a woman open a bank account in the same way as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1981;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1982;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1983;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1984;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1985;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1986;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1987;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1988;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1989;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1990;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1991;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1992;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1993;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1994;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1995;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1996;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1997;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1998;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;1999;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2000;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2001;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2002;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2003;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2004;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2005;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2006;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2007;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2008;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2009;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2010;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2011;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2012;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2013;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2014;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2015;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2016;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2017;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2018;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2019;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2020;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2021;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;Commercial Law, Art. 4
Afghanistan;AFG;AFG;South Asia;Low income;2022;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;"Commercial Law of Afghanistan, Art. 4; Banking Law of Afghanistan, Art. 84"
Afghanistan;AFG;AFG;South Asia;Low income;2023;75;No;0;No applicable provisions could be located;Yes;1;Civil Code of Afghanistan, Art. 39;Yes;1;Commercial Law of Afghanistan, Arts. 4 and 8;Yes;1;"Commercial Law of Afghanistan, Art. 4; Banking Law of Afghanistan, Art. 84"
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1971;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1972;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1973;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1974;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1975;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1976;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1977;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1978;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1979;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1980;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1981;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1982;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1983;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1984;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1985;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1986;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1987;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1988;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1989;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1990;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1991;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1992;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1993;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1994;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1995;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1996;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1997;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1998;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1999;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2000;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2001;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2002;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2003;75;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2004;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2005;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2006;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2007;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2008;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2009;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2010;75;No;0;No applicable provisions could be located;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2011;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2012;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2013;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2014;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2015;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2016;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2017;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2018;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2019;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2020;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2021;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2022;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2023;100;Yes;1;Law on Protection from Discrimination, Art. 20(2)(e);Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Entrepreneurs and Commercial Companies, Art. 3;Yes;1;Family Code, Arts. 1 and 50
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1971;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1972;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1973;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1974;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1975;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1976;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1977;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1978;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1979;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1980;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1981;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1982;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1983;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1984;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1985;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1986;75;No;0;No applicable provisions could be located;Yes;1;No restrictions could be located;Yes;1;Code de commerce, Arts. 7-8;Yes;1;No restrictions could be located
