Economy;Economy Code;ISO Code;Region;Income Group;Report Year;MARRIAGE SCORE;Is the law free of legal provisions that require a married woman to obey her husband?;Score;Legal Basis;Can a woman be head of household in the same way as a man?;Score;Legal Basis;Is there legislation specifically addressing domestic violence?;Score;Legal Basis;Can a woman obtain a judgment of divorce in the same way as a man?;Score;Legal Basis;Does a woman have the same rights to remarry as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;2006;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2007;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2008;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2009;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2010;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2011;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2012;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2013;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2014;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2015;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2016;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2017;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2018;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2019;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2020;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2021;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2022;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Afghanistan;AFG;AFG;South Asia;Low income;2023;20;No;0;Civil Code Afghanistan, Art. 122(2);Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Civil Code of Afghanistan, Arts. 135-197;No;0;Civil Code of Afghanistan, Arts. 198-216
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1971;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1972;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1973;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1974;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1975;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1976;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1977;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1978;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1979;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1980;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1981;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1982;80;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;No;0;No applicable provisions could be located;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1983;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1984;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1985;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1986;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1987;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1988;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1989;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1990;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1991;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1992;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1993;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1994;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1995;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1996;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1997;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1998;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1999;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2000;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2001;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2002;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2003;80;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;No;0;No applicable provisions could be located;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2004;80;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;No;0;No applicable provisions could be located;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2005;80;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;No;0;No applicable provisions could be located;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2006;80;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;No;0;No applicable provisions could be located;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2007;80;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;No;0;No applicable provisions could be located;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2008;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Measures Against Violence in Family Relations;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2009;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Measures Against Violence in Family Relations;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2010;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Measures Against Violence in Family Relations;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2011;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Measures Against Violence in Family Relations;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2012;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Law on Measures Against Violence in Family Relations;Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2013;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2014;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2015;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2016;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2017;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2018;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2019;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2020;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2021;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2022;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Criminal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2023;100;Yes;1;Family Code, Arts. 1 and 50;Yes;1;Family Code, Arts. 1 and 50;Yes;1;"Law on Measures against Violence in Family Relations; Penal Code, Art. 130/a";Yes;1;Family Code, Art. 132;Yes;1;Family Code, Art. 145
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1971;0;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located
