Economy;Economy Code;ISO Code;Region;Income Group;Report Year;MOBILITY SCORE;Can a woman choose where to live in the same way as a man?;Score;Legal Basis;Can a woman travel outside her home in the same way as a man?;Score;Legal Basis;Can a woman apply for a passport in the same way as a man?;Score;Legal Basis;Can a woman travel outside the country in the same way as a man?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;1982;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1983;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1984;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1985;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1986;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1987;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1988;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1989;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1990;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1991;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1992;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1993;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1994;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1995;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1996;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1997;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1998;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;1999;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2000;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2001;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2002;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2003;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2004;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2005;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2006;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2007;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2008;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2009;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2010;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2011;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2012;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2013;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2014;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2015;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2016;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);No;0;Law on Passports of 1939;Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2017;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2018;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2019;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2020;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2021;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2022;50;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Civil Code of Afghanistan, Art. 122(1);Yes;1;"Passport Law of 2015; Passport Application Procedures";Yes;1;No restrictions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2023;25;No;0;Civil Code of Afghanistan, Arts. 115, 117, and 122 (3);No;0;Taliban's Guidelines of December 2021;Yes;1;"Passport Law of 2015; Passport Application Procedures";No;0;Taliban's Guidelines of December 2021
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1971;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1972;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1973;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1974;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1975;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1976;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1977;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1978;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1979;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1980;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1981;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1982;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1965
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1983;100;Yes;1;Family Code of 1965;Yes;1;Family Code of 1965;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1984;100;Yes;1;Family Code of 1982;Yes;1;Family Code of 1982;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1985;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1986;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1987;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1988;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1989;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1990;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree No. 4504 of May 8 1969 ""On the Issuing of Passports and Granting of Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1991;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1992;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1993;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1994;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1995;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1996;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1997;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1998;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1999;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2000;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2001;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;"Decree no.7393 of June 16 1990 ""On the Issuance of Passports and Visas""";Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2002;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2003;100;Yes;1;Family Code of 1982;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code of 1982
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2004;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2005;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2006;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2007;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2008;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2009;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2010;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2011;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2012;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2013;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2014;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2015;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2016;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2017;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2018;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2019;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law No. 8668 on Providing Passports for Albanian Citizen, enacted on October 23rd 2000;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2020;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law on Providing Passports for Albanian Citizen, Arts. 6-7;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2021;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law on Providing Passports for Albanian Citizen, Arts. 6-7;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2022;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law on Providing Passports for Albanian Citizen, Arts. 6 and 7;Yes;1;Family Code, Arts. 1 and 50
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2023;100;Yes;1;Family Code, Arts. 1, 50 and 55;Yes;1;No restrictions could be located;Yes;1;Law on Providing Passports for Albanian Citizen, Arts. 6 and 7;Yes;1;Family Code, Arts. 1 and 50
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1971;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1972;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1973;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1974;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1975;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1976;50;Yes;1;No restrictions could be located;No;0;No applicable provisions could be located;No;0;Ordinance 69-26 of 1969 portant institution du passeport national;Yes;1;No restrictions could be located
