Economy;Economy Code;ISO Code;Region;Income Group;Report Year;PENSION SCORE;Is the age at which men and women can retire with full pension benefits the same?;Score;Legal Basis;Is the age at which men and women can retire with partial pension benefits the same?;Score;Legal Basis;Is the mandatory retirement age for men and women the same?;Score;Legal Basis;Are periods of absence due to childcare accounted for in pension benefits?;Score;Legal Basis
Afghanistan;AFG;AFG;South Asia;Low income;2014;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2015;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2016;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2017;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2018;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2019;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law 1999, Arts. 23(3) and 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2020;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law, Art. 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2021;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law, Art. 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2022;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law, Art. 138(1);No;0;No applicable provisions could be located
Afghanistan;AFG;AFG;South Asia;Low income;2023;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;Labor Law, Art. 138(1);No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1971;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1972;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1973;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1974;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1975;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1976;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1977;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1978;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1979;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1980;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Social Insurance Law 1966;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1981;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1982;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1983;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1984;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1985;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1986;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1987;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1988;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1989;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1990;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1991;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1992;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1993;0;No;0;Social Insurance Law of 13 September 1966, Art. 17(c);No;0;Social Insurance Law of 13 September 1966, Art. 34;No;0;Labor Code of Albania 1980;No;0;No applicable provisions could be located
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1994;25;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;No;0;Labor Code of Albania 1980;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1995;25;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;No;0;Labor Code of Albania 1980;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1996;25;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;No;0;Labor Code of Albania 1980;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1997;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1998;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;1999;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2000;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2001;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2002;50;No;0;Law No. 7703 of 11 May 1993, Arts. 31 and 92;No;0;Law No. 7703 of 11 May 1993, Art. 34;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2003;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2004;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2005;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2006;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2007;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2008;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2009;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2010;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2011;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2012;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2013;50;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2014;50;No;0;Law No. 7703 of 11 May 1993, Art. 92;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2015;50;No;0;Law No. 7703 of 11 May 1993, Art. 92;No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2016;50;No;0;"Law No. 7703 of 11 May 1993, Arts. 31 and 92; Law No. 104 of 31 July 2014, Art. 43";No;0;"Law No. 7703 of 11 May 1993, Art. 92; Law No. 8889 of 25 April 2002, Arts. 4 and 6";Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2017;50;No;0;"Law No. 7703 of 11 May 1993, Arts. 31 and 92; Law No. 104 of 31 July 2014, Art. 43";No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2018;50;No;0;"Law No. 7703 of 11 May 1993, Arts. 31 and 92; Law No. 104 of 31 July 2014, Art. 43";No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2019;50;No;0;"Law No. 7703 of 11 May 1993, Arts. 31 and 92; Law No. 104 of 31 July 2014, Art. 43";No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2020;50;No;0;"Law No. 7703 of 11 May 1993, Arts. 31 and 92; Law No. 104 of 31 July 2014, Art. 43";No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2021;50;No;0;Law on Social Insurance, Arts. 31 and 92;No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2022;50;No;0;Law on Social Insurance, Arts. 31 and 92;No;0;Law on Social Insurance No. 7703 of 11 May 1993, Arts. 31/1 and 92;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Albania;ALB;ALB;Europe & Central Asia;Upper middle income;2023;50;No;0;Law on Social Insurance, Arts. 31 and 92;No;0;Law on Social Insurance, Arts. 31/1, 31/5, 92 and 95;Yes;1;No applicable provisions could be located;Yes;1;Law No. 7703 of 11 May 1993, Arts. 8 and 58
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1971;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1972;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1973;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
Algeria;DZA;DZA;Middle East & North Africa;Lower middle income;1974;25;No;0;No applicable provisions could be located;No;0;No applicable provisions could be located;Yes;1;No applicable provisions could be located;No;0;No applicable provisions could be located
